City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,al jubayl,27.0112,49.6583,14.88,57,7,10.76,SA,1706848129
60,taroa,8.7058,171.2275,26.89,85,100,9.51,MH,1706848129
61,hafnarfjordur,64.0671,-21.9377,3.21,100,100,2.57,IS,1706848129
62,san patricio,28.017,-97.5169,19.35,85,14,5.12,US,1706848129
63,gadzhiyevo,69.2551,33.3362,-2.14,72,95,9.78,RU,1706848129
64,qaqortoq,60.7167,-46.0333,-17.72,79,9,5.05,GL,1706848129
65,christchurch,-43.5333,172.6333,23.11,37,78,7.72,NZ,1706848130
66,kiunga,-6.1219,141.2906,34.25,45,92,2.45,PG,1706848130
67,grand falls-windsor,48.9332,-55.6649,-8.42,95,100,2.51,CA,1706848130
68,touros,-5.1989,-35.4608,26.72,76,51,5.18,BR,1706848130
69,ribeira grande,38.5167,-28.7,17.1,88,99,4.47,PT,1706848130
70,hawaiian paradise park,19.5933,-154.9731,23.82,87,100,3.6,US,1706848130
71,elliot lake,46.3834,-82.6331,-7.47,84,27,4.29,CA,1706847954
72,afaahiti,-17.75,-149.2833,27.93,79,33,5.38,PF,1706848130
73,villa gesell,-37.2639,-56.973,24.47,72,65,4.87,AR,1706848130
74,savannah,32.0835,-81.0998,10.53,86,0,2.06,US,1706847758
75,bilibino,68.0546,166.4372,-40.47,92,10,2.04,RU,1706847918
76,waitangi,-43.9535,-176.5597,19.34,90,100,5.36,NZ,1706848131
77,boende,-0.2167,20.8667,22.89,75,92,0.97,CD,1706848131
78,nuevitas,21.5453,-77.2644,20.94,58,90,3.38,CU,1706848131
79,talnakh,69.4865,88.3972,-13.77,88,100,8.55,RU,1706848131
80,isafjordur,66.0755,-23.124,1.53,98,100,2.54,IS,1706848131
81,hasaki,35.7333,140.8333,6.27,68,100,5.8,JP,1706848131
82,preobrazheniye,42.9019,133.9064,-5.53,35,5,2.47,RU,1706848131
83,fisterra,42.9049,-9.2629,10.42,79,77,5.29,ES,1706848132
84,hithadhoo,-0.6,73.0833,28.0,75,27,5.79,MV,1706848132
85,tazovsky,67.4667,78.7,-11.52,94,100,7.58,RU,1706848132
86,labytnangi,66.6572,66.4183,-14.47,96,100,1.07,RU,1706848132
87,greymouth,-42.4667,171.2,13.78,88,100,9.14,NZ,1706848132
88,lihue,21.9789,-159.3672,24.58,76,100,1.54,US,1706848132
89,karera,25.4667,78.15,17.85,53,32,2.55,IN,1706848132
90,bethel,41.3712,-73.414,5.2,78,100,1.54,US,1706848132
91,udachny,66.4167,112.4,-27.31,87,46,1.63,RU,1706848132
92,bredasdorp,-34.5322,20.0403,20.61,96,31,3.82,ZA,1706848133
93,taoudenni,22.6783,-3.9836,17.22,21,100,5.52,ML,1706848133
94,perry,37.2506,-83.1999,9.4,80,100,2.15,US,1706848133
95,harper,4.375,-7.7169,26.22,85,43,0.89,LR,1706848133
96,margaret river,-33.95,115.0667,26.69,57,28,6.16,AU,1706847897
97,palikir - national government center,6.9248,158.1611,29.41,79,100,4.12,FM,1706848133
98,cabo san lucas,22.8909,-109.9124,22.51,76,0,1.79,MX,1706848133
99,dolbeau-mistassini,48.8763,-72.212,-6.64,95,100,3.06,CA,1706848133
100,constantia,44.1833,28.65,-0.62,70,70,5.71,RO,1706847891
101,ebon,4.582,168.6964,28.24,80,100,6.82,MH,1706848134
102,akjoujt,19.6969,-14.4164,19.05,14,1,4.77,MR,1706848134
103,yuzhno-kurilsk,44.0306,145.8556,-8.12,64,100,6.5,RU,1706848134
104,geraldton,-28.7667,114.6,45.23,6,0,2.06,AU,1706847980
105,olonkinbyen,70.9221,-8.7187,-7.37,60,19,4.25,SJ,1706848134
106,hilo,19.7297,-155.09,25.16,86,100,3.6,US,1706848134
107,zeya,53.75,127.2667,-16.4,67,37,0.95,RU,1706848134
108,moree,-29.4667,149.85,36.88,23,8,4.22,AU,1706847919
109,nuuk,64.1835,-51.7216,-14.66,85,100,5.14,GL,1706847960
110,anadyr,64.75,177.4833,-15.72,47,95,9.0,RU,1706848134
111,tarawa,1.419,172.984,31.05,84,75,3.6,KI,1706848135
112,jilin,43.0,126.0,-13.09,68,12,1.35,CN,1706848135
113,minas de marcona,-15.2119,-75.1103,19.5,77,95,2.82,PE,1706848135
114,papatowai,-46.5619,169.4708,10.99,86,100,5.91,NZ,1706848135
115,borogontsy,62.6683,131.1683,-29.76,94,100,0.99,RU,1706848135
116,fort st. john,56.2499,-120.8529,0.94,86,75,3.6,CA,1706848135
117,tangalle,6.024,80.7911,29.09,77,45,3.58,LK,1706848135
118,jahanian shah,31.8055,72.2771,11.47,61,0,2.89,PK,1706848135
119,necochea,-38.5473,-58.7368,23.39,61,99,4.98,AR,1706848136
120,tralee,52.2704,-9.7026,11.67,91,100,5.22,IE,1706848136
121,cadale,2.7603,46.3222,26.42,81,84,5.3,SO,1706848136
122,kone,-21.0595,164.8658,24.74,92,100,2.24,NC,1706848136
123,kirensk,57.7853,108.1119,-26.69,96,59,0.45,RU,1706848136
124,rexburg,43.826,-111.7897,4.19,66,100,2.06,US,1706848110
125,new norfolk,-42.7826,147.0587,19.95,36,21,6.33,AU,1706848136
126,khandyga,62.6667,135.6,-33.07,94,96,0.99,RU,1706848136
127,palmer,42.1584,-72.3287,3.65,88,100,2.06,US,1706848136
128,hamilton,39.1834,-84.5333,9.28,80,0,2.06,US,1706847872
129,thompson,55.7435,-97.8558,-7.91,93,100,3.09,CA,1706848137
130,port saint john's,-31.6229,29.5448,22.77,88,100,5.27,ZA,1706848137
131,vadso,70.0744,29.7487,-1.51,86,100,9.26,NO,1706848137
132,zhezqazghan,47.7833,67.7667,-20.68,84,100,5.0,KZ,1706848137
133,coquimbo,-29.9533,-71.3436,17.85,88,20,1.54,CL,1706848137
134,bodaybo,57.8506,114.1933,-22.7,93,100,0.22,RU,1706848137
135,papao,-17.75,-149.55,28.82,80,42,4.43,PF,1706848138
136,kununurra,-15.7667,128.7333,37.99,44,61,4.12,AU,1706848138
137,bel ombre,-4.6167,55.4167,27.91,78,20,3.09,SC,1706848138
138,klaksvik,62.2266,-6.589,9.51,93,100,14.87,FO,1706848138
139,carutapera,-1.195,-46.02,25.08,95,100,2.5,BR,1706847969
140,kuta,-8.7233,115.1723,27.97,78,40,2.68,ID,1706848138
